检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|22:19:17.500,20260408,22:19:17.500,,AG,AG2605,4757500,9316,9316,4757500,visible_execution_drop,17332.5,0.7413,5,"AG2606,AG2608,AG2610,AG2612,AG2607",20,289,290.0,17301.0,17314.333333333332,31.5,18.17395067070532,18.16666666666788,10.48127313813234,,,30.651999999999997,26.69840000001438,30.0,3.0,779145.0,3.0,817.5000000000546,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|09:20:45.500,20260408,09:20:45.500,09:20:46.500,AG,AG2605,44445500,36181,36181,44445500,visible_execution_drop,18713.5,1.4826,5,"AG2606,AG2608,AG2610,AG2612,AG2607",20,289,290.0,18675.0,18688.0,38.5,20.5733828519518,25.5,13.626526304539505,18692.217391304348,21.282608695652016,24.2216,24.2216,34.75,18.0,5045760.0,18.0,6885.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|21:34:21.000,20260408,21:34:21.000,,AG,AG2608,2061000,4118,4118,2061000,visible_execution_drop,17802.0,1.4826,5,"AG2606,AG2605,AG2610,AG2612,AG2607",20,520,290.0,17782.0,17793.814814814818,20.0,11.234692731153803,8.18518518518249,4.597902025155876,,,20.0,20.0,19.875,27.0,7206495.0,27.0,3314.9999999989086,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|22:06:15.000,20260408,22:06:15.000,,AU,AU2606,3975000,7927,7927,3975000,visible_execution_drop,1024.7800000000002,1.4826000000155066,4,"AU2608,AU2610,AU2612,AU2605",20,542,290.0,1024.0,1024.7871666666667,39.00000000001,7.611389761706903,-0.3583333333267546,-0.0699337093477145,,,30.152000000107417,25.61950000000001,39.00000000001,120.0,122974460.0,120.0,0.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|22:38:23.500,20260408,22:38:23.500,,AU,AU2606,5903500,11784,11784,5903500,visible_execution_drop,1034.0449999999996,7.0423499999935935,4,"AU2610,AU2612,AU2605,AU2604",20,541,290.0,1033.24,1033.6192307692309,40.249999999980446,7.784961002660515,21.28846153843824,4.117511624433801,,,25.851124999999993,25.851124999999993,37.99999999997112,26.0,26874100.0,26.0,11069.999999987886,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|23:40:00.500,20260408,23:40:00.500,,AU,AU2606,9600500,19153,19153,9600500,visible_execution_drop,1031.5299999999995,2.5945499999892125,4,"AU2608,AU2610,AU2612,AU2605",20,407,290.0,1031.0,1031.3409523809523,26.499999999987267,5.1379988948430535,9.452380952370731,1.832691429695837,,,25.78824999999999,25.78824999999999,25.74999999998795,42.0,43316320.0,42.0,7939.999999991414,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|14:46:19.500,20260408,14:46:19.500,,AU,AU2606,63979500,63780,63780,63979500,visible_execution_drop,1065.6699999999998,7.413000000010113,3,"AU2608,AU2610,AU2604",20,473,290.0,1065.0,1065.5046753246754,33.49999999999227,6.287124531983124,8.266233766221376,1.5513683910068552,,,26.64175,26.64175,33.49999999999227,77.0,82043860.0,77.0,12729.99999998092,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AU_V1,validated,AU2608|23:15:59.000,20260408,23:15:59.000,,AU,AU2608,8159000,16189,16189,8159000,visible_execution_drop,1035.4649999999997,7.783650000001348,4,"AU2610,AU2612,AU2605,AU2604",20,153,290.0,1034.74,1035.3885714285714,36.24999999998408,7.001685233201334,3.8214285714161633,0.7381086896063439,,,31.65199999983637,30.00853333345225,35.666666666668334,21.0,21743160.0,21.0,1604.9999999947886,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PP2609|09:23:18.114,20260408,09:23:18.114,,PP,PP2609,44598114,16996,16996,44598114,visible_execution_drop,8523.5,1.4826,3,"PP2605,PP2608,PP2607",20,382,290.0,8480.0,8506.524696356275,43.5,51.03537279286678,16.975303643725056,19.9158839018303,,,24.9629,24.74724853801743,43.5,1235.0,52527790.0,1235.0,104822.5000000022,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:03:58.000,20260407,21:03:58.000,21:03:59.000,PX,PX605,238000,504,505,238000,interval_execution_drop,9862.0,2.2239,5,"PX609,PX607,PX606,PX608,PX610",20,150,228.0,9858.0,9286.8,2.0,4.055972419387548,287.60000000000036,583.2488339079301,9673.718309859154,94.14084507042298,20.0,46.0824,283.60000000000036,50.0,464340.0,50.0,28760.000000000036,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:04:45.000,20260407,21:04:45.000,21:04:46.000,PX,PX605,285000,595,596,285000,interval_execution_drop,9878.0,2.9652,5,"PX609,PX607,PX606,PX608,PX610",20,196,275.0,9868.0,9144.133333333331,5.0,10.123506782749544,366.9333333333334,742.93041776338,9255.509433962265,311.24528301886767,20.0,74.2344,363.4333333333334,45.0,411486.0,45.0,33024.00000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:05:53.000,20260407,21:05:53.000,21:05:54.000,PX,PX605,353000,726,727,353000,interval_execution_drop,9857.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,260,290.0,9856.0,8939.35,0.5,1.0145074566298062,458.8249999999998,930.9627675763412,9318.41791044776,269.29104477611963,20.0,107.8168,456.8249999999998,40.0,357574.0,40.0,36705.999999999985,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:06:23.000,20260407,21:06:23.000,21:06:24.000,PX,PX605,383000,786,787,383000,interval_execution_drop,9838.0,1.4826,5,"PX609,PX607,PX606,PX608,PX610",20,277,290.0,9834.0,9297.304347826086,2.0,4.0658670461475905,270.34782608695696,549.5991585422992,9567.39534883721,135.30232558139505,20.0,101.8168,268.84782608695696,69.0,641514.0,69.0,37308.00000000006,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:07:38.000,20260407,21:07:38.000,21:07:39.000,PX,PX605,458000,932,933,458000,interval_execution_drop,9820.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,280,290.0,9822.0,8896.375,-1.0,-2.0366598778004072,461.8125,940.5549898167006,9116.225806451614,351.8870967741932,20.0,90.6016,461.8125,48.0,427026.0,48.0,44334.0,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:08:53.000,20260407,21:08:53.000,21:08:54.000,PX,PX605,533000,1074,1075,533000,interval_execution_drop,9805.0,1.4826,5,"PX609,PX607,PX606,PX608,PX610",20,279,290.0,9802.0,9295.061224489797,1.5,3.0596634370219276,254.9693877551017,520.0803421827674,9516.124223602485,144.43788819875772,20.0,110.896,253.4693877551017,98.0,910916.0,98.0,49973.999999999935,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:11:04.000,20260407,21:11:04.000,21:11:05.000,PX,PX605,664000,1324,1325,664000,interval_execution_drop,9815.0,1.4826,5,"PX609,PX607,PX606,PX608,PX610",20,279,290.0,9812.0,9019.921052631578,1.5,3.056546102903719,397.53947368421086,810.0651526932468,9413.791666666666,200.60416666666697,20.0,20.0,397.03947368421086,76.0,685514.0,76.0,60426.00000000005,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:11:47.000,20260407,21:11:47.000,21:11:48.000,PX,PX605,707000,1406,1407,707000,interval_execution_drop,9830.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,277,290.0,9832.0,9148.252631578947,-1.0,-2.0345879959308237,340.87368421052633,693.5375060234513,9480.577777777778,174.71111111111077,20.0,20.0,340.87368421052633,95.0,869084.0,95.0,64766.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:16:10.000,20260407,21:16:10.000,21:16:11.000,PX,PX605,970000,1884,1885,970000,interval_execution_drop,9818.0,0.7413,5,"PX609,PX607,PX606,PX608,PX610",20,236,290.0,9824.0,9268.442857142858,-3.0,-6.111224281931147,274.778571428571,559.7444926228784,9409.416216216216,204.2918918918922,20.0,42.3736,274.778571428571,140.0,1297582.0,140.0,76937.99999999988,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX606|09:06:05.000,20260408,09:06:05.000,09:06:06.000,PX,PX606,43565000,11083,11084,43565000,interval_execution_drop,8940.0,1.4826,4,"PX605,PX609,PX607,PX608",20,142,290.0,8938.0,8863.233333333334,1.0,2.237136465324385,38.38333333333321,85.8687546607007,8780.703703703704,79.64814814814781,37.224799999999995,20.0,37.13333333333321,60.0,531794.0,60.0,4605.999999999985,quote_only_recovered_3s,,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX607|21:09:38.000,20260407,21:09:38.000,21:09:39.000,PX,PX607,578000,1032,1033,578000,interval_execution_drop,9732.0,0.7413,5,"PX605,PX609,PX606,PX608,PX610",20,106,290.0,9734.0,9254.6,-1.0,-2.055076037813399,238.69999999999985,490.546650226058,9373.076923076924,179.4615384615381,20.0,56.09519999999999,238.69999999999985,10.0,92546.0,10.0,4773.999999999996,quote_only_recovered_3s,,6.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:06:02.000,20260407,21:06:02.000,21:06:03.000,PX,PX609,362000,638,638,362000,interval_execution_drop,9492.0,0.0,5,"PX605,PX607,PX606,PX608,PX610",20,165,290.0,9492.0,9052.105263157897,0.0,0.0,219.9473684210525,463.43735444806674,9317.822222222225,87.0888888888885,20.0,85.95599999999999,219.9473684210525,19.0,171990.0,19.0,8357.999999999995,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:06:32.000,20260407,21:06:32.000,21:06:33.000,PX,PX609,392000,690,691,392000,interval_execution_drop,9464.0,0.7413,5,"PX605,PX607,PX606,PX608,PX610",20,166,290.0,9468.0,8959.058823529413,-2.0,-4.22654268808115,252.4705882352937,533.5388593307136,9135.36,164.3199999999997,20.0,79.7408,252.4705882352937,17.0,152304.0,17.0,8583.999999999985,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:06:41.000,20260407,21:06:41.000,21:06:42.000,PX,PX609,401000,706,707,401000,interval_execution_drop,9454.0,1.4826,5,"PX605,PX607,PX606,PX608,PX610",20,170,290.0,9454.0,9120.16,0.0,0.0,166.92000000000007,353.120372329173,9271.512195121952,91.24390243902415,20.0,78.9908,165.17000000000007,25.0,228004.0,25.0,8346.000000000004,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:07:23.000,20260407,21:07:23.000,21:07:24.000,PX,PX609,443000,774,775,443000,interval_execution_drop,9465.0,3.7065,5,"PX605,PX607,PX606,PX608,PX610",20,175,290.0,9460.0,9084.076923076924,2.5,5.282620179609086,190.4615384615381,402.45438660652536,9337.363636363636,63.81818181818198,20.0,62.1648,188.4615384615381,26.0,236186.0,26.0,9903.999999999982,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:09:18.000,20260407,21:09:18.000,21:09:19.000,PX,PX609,558000,968,969,558000,interval_execution_drop,9451.0,1.4826,5,"PX605,PX607,PX606,PX608,PX610",20,181,290.0,9454.0,8907.0,-1.5,-3.174267273304412,272.0,575.6004655592001,9204.448979591836,123.27551020408193,20.0,55.84519999999999,272.0,24.0,213768.0,24.0,13056.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:10:20.000,20260407,21:10:20.000,21:10:21.000,PX,PX609,620000,1072,1072,620000,interval_execution_drop,9453.0,0.0,5,"PX605,PX607,PX606,PX608,PX610",20,189,290.0,9454.0,8501.6,-0.5,-1.0578652279699563,475.6999999999998,1006.4529778906164,8563.25,444.875,20.0,25.443199999999997,475.6999999999998,15.0,127524.0,15.0,14270.999999999996,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|09:05:19.000,20260408,09:05:19.000,09:05:20.000,PX,PX609,43519000,10629,10630,43519000,interval_execution_drop,8771.5,1.85325,4,"PX605,PX607,PX606,PX608",20,204,290.0,8774.0,8524.606557377048,-1.25,-2.850139656843185,123.4467213114758,281.4723167336848,8684.064935064935,43.71753246753269,40.6046,20.0,123.4467213114758,122.0,1040002.0,122.0,30121.0000000001,quote_only_recovered_3s,,4.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|09:10:20.000,20260408,09:10:20.000,09:10:21.000,PX,PX609,43820000,11176,11177,43820000,interval_execution_drop,8797.25,4.633125,4,"PX605,PX607,PX606,PX608",20,219,290.0,8804.0,8502.986111111111,-3.375,-7.672852311801984,147.13194444444434,334.49531261347437,8541.46052631579,127.89473684210498,27.151999999999997,20.0,147.13194444444434,144.0,1224430.0,144.0,42373.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|09:23:00.000,20260408,09:23:00.000,09:23:01.000,PX,PX609,44580000,12474,12475,44580000,interval_execution_drop,8912.0,1.11195,4,"PX605,PX607,PX606,PX608",20,157,290.0,8906.0,8505.531428571428,3.0,6.732495511669659,203.23428571428576,456.0913054629393,8559.568421052632,176.2157894736838,20.0,20.0,199.23428571428576,175.0,1488468.0,175.0,71132.00000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2606|21:03:50.500,20260408,21:03:50.500,,SC,SC2606,230500,459,459,230500,visible_execution_drop,694.9000000000002,4.4478000000026965,5,"SC2605,SC2607,SC2609,SC2608,SC2612",20,204,220.0,690.0000000000001,691.7471428571429,49.00000000000091,70.51374298460338,31.528571428573287,45.37137923236909,,,39.04759999999536,36.98746666668136,46.56249999999943,70.0,48422300.0,70.0,220700.000000013,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:04:55.000,20260407,21:04:55.000,21:04:56.000,TA,TA605,295000,630,631,295000,interval_execution_drop,6892.0,2.2239,5,"TA609,TA607,TA606,TA701,TA608",20,216,285.0,6892.0,6031.236111111111,0.0,0.0,430.38194444444434,1248.9319339653057,6463.1080139372825,214.4459930313587,20.0,54.8736,430.38194444444434,144.0,868498.0,144.0,123949.99999999996,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:06:36.000,20260407,21:06:36.000,21:06:37.000,TA,TA605,396000,832,833,396000,interval_execution_drop,6844.0,0.7413,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6848.0,6465.725067385445,-2.0,-5.844535359438924,189.13746630727744,552.7103048137857,6673.563535911602,85.21823204419888,20.0,71.09519999999999,189.13746630727744,371.0,2398784.0,371.0,140339.99999999988,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:07:01.000,20260407,21:07:01.000,21:07:02.000,TA,TA605,421000,882,883,421000,interval_execution_drop,6838.0,0.7413,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6840.0,6335.432258064516,-1.0,-2.924831822170225,251.28387096774213,734.963062204569,6537.701431492843,150.14928425357857,20.0,69.59519999999999,251.28387096774213,310.0,1963984.0,310.0,155796.00000000012,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:08:30.000,20260407,21:08:30.000,21:08:31.000,TA,TA605,510000,1060,1061,510000,interval_execution_drop,6844.0,0.7413,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6842.0,6305.136094674556,1.0,2.922267679719462,269.43195266272187,787.3522871499762,6465.376068376068,189.31196581196585,20.0,69.0256,269.43195266272187,338.0,2131136.0,338.0,182135.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|21:09:10.000,20260407,21:09:10.000,21:09:11.000,TA,TA605,550000,1140,1141,550000,interval_execution_drop,6848.0,3.7065,5,"TA609,TA607,TA606,TA701,TA608",20,291,290.0,6852.0,6298.937853107344,-2.0,-5.841121495327102,274.5310734463278,801.7846771212844,6648.880898876405,99.55955056179756,20.0,51.6648,274.5310734463278,354.0,2229824.0,354.0,194368.0000000001,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA605|09:11:02.000,20260408,09:11:02.000,09:11:03.000,TA,TA605,43862000,15024,15025,43862000,interval_execution_drop,6404.0,1.4826,5,"TA609,TA607,TA606,TA701,TA608",20,286,290.0,6400.0,6112.659874608151,2.0,6.246096189881324,145.67006269592457,454.9346117923941,6285.927089175547,59.03645541222659,20.0,20.0,143.67006269592457,2552.0,15599508.0,2552.0,743499.9999999991,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:03:59.000,20260407,21:03:59.000,21:04:00.000,TA,TA606,239000,509,510,239000,interval_execution_drop,6894.0,2.9652,5,"TA605,TA609,TA607,TA701,TA608",20,110,229.0,6888.0,6475.575757575758,3.0,8.703220191470844,209.21212121212105,606.9397192112591,6667.8983050847455,113.05084745762724,20.0,32.652,206.21212121212105,33.0,213694.0,33.0,13807.999999999987,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:14:46.000,20260407,21:14:46.000,21:14:47.000,TA,TA606,886000,1749,1750,886000,interval_execution_drop,6866.0,0.7413,5,"TA605,TA609,TA607,TA701,TA608",20,111,290.0,6860.0,6530.209302325581,3.0,8.73871249635887,167.89534883720944,489.0630609880846,6538.340909090909,163.8295454545455,20.0,25.5128,167.89534883720944,86.0,561598.0,86.0,28878.000000000025,quote_only_recovered_3s,,7.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|21:16:01.000,20260407,21:16:01.000,21:16:02.000,TA,TA606,961000,1891,1892,961000,interval_execution_drop,6865.0,0.0,5,"TA605,TA609,TA607,TA701,TA608",20,117,290.0,6864.0,6602.233333333334,0.5,1.4566642388929352,131.3833333333332,382.76280650643326,6649.527777777777,107.73611111111131,20.0,20.0,131.3833333333332,120.0,792268.0,120.0,31531.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA606|09:10:00.000,20260408,09:10:00.000,09:10:01.000,TA,TA606,43800000,13938,13939,43800000,interval_execution_drop,6385.0,1.4826,5,"TA605,TA609,TA607,TA701,TA608",20,228,290.0,6386.0,6295.29347826087,-0.5,-1.5661707126076745,44.85326086956502,140.4957270777291,6298.711590296496,43.144204851751965,20.0,20.0,44.85326086956502,368.0,2316668.0,368.0,33011.999999999854,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:05:19.000,20260407,21:05:19.000,21:05:20.000,TA,TA607,319000,638,639,319000,interval_execution_drop,6883.0,1.4826,5,"TA605,TA609,TA606,TA701,TA608",20,133,290.0,6878.0,6350.2962962962965,2.5,7.26427429899753,266.35185185185173,773.9411647591216,6554.837209302325,164.0813953488373,20.0,69.44959999999999,264.85185185185173,27.0,171458.0,27.0,14382.999999999993,quote_only_recovered_3s,,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA607|21:07:01.000,20260407,21:07:01.000,21:07:02.000,TA,TA607,421000,836,837,421000,interval_execution_drop,6843.0,0.7413,5,"TA605,TA609,TA606,TA701,TA608",20,171,290.0,6840.0,6173.1612903225805,1.5,4.384042086804033,334.91935483870975,978.8670315321052,6512.406779661017,165.2966101694915,20.0,76.5256,333.41935483870975,31.0,191368.0,31.0,20765.000000000004,trade_recovered_3s,,2.0,1.0,
