检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AU_V1,validated,AU2604|23:55:16.000,20260304,23:55:16.000,,AU,AU2604,10516000,21032,21032,10516000,visible_execution_drop,1140.85,9.266249999983145,5,"AU2606,AU2608,AU2610,AU2612,AU2702",20,498,290.0,1140.0,1140.422105263158,42.49999999999545,7.45058509006363,21.39473684209179,3.7506660546244976,,,36.58239999975878,28.52125,40.50000000000864,19.0,21668020.0,19.0,8129.9999999948795,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|01:02:10.500,20260304,01:02:10.500,,AU,AU2604,14530500,29054,29054,14530500,visible_execution_drop,1141.2350000000001,4.818450000004045,2,"AU2610,AU2612",20,407,290.0,1140.24,1141.1438461538462,49.75000000000591,8.718624998358077,4.55769230769647,0.7987298510291868,,,35.08239999997946,34.594000000035955,46.12500000000637,26.0,29669740.0,26.0,2370.0000000021646,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2604|01:23:40.000,20260304,01:23:40.000,,AU,AU2604,15820000,31614,31614,15820500,"visible_execution_drop,interval_execution_drop",1143.1800000000003,0.7412999999824705,3,"AU2606,AU2608,AU2702",20,361,290.0,1142.16,1142.6836363636364,51.00000000001046,8.922479399571449,24.818181818193352,4.341955215835362,,,35.0824000001143,29.151999999973484,46.00000000001501,11.0,12569520.0,39.0,5460.0000000025375,trade_recovered_3s,0.5,2.0,1.0,
aggregated-tick-v1,AU_V1,validated,AU2604|14:06:22.000,20260304,14:06:22.000,,AU,AU2604,61582000,59918,59918,61582000,visible_execution_drop,1149.145,5.559750000003371,5,"AU2606,AU2608,AU2610,AU2612,AU2702",20,363,290.0,1148.0,1148.6634782608696,57.24999999999909,9.963929704258227,24.076086956517884,4.19026092556081,,,33.65200000026181,31.279840000036856,48.19444444443661,46.0,52838520.0,46.0,22149.999999996453,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AU_V1,validated,AU2604|14:06:32.000,20260304,14:06:32.000,,AU,AU2604,61592000,59938,59938,61592000,visible_execution_drop,1147.79,7.413000000010113,4,"AU2608,AU2610,AU2612,AU2702",20,362,290.0,1147.04,1147.4097297297296,37.5,6.534296343407766,19.0135135135165,3.313064848712134,,,36.867199999977835,31.41804771450901,34.87499999999386,111.0,127362480.0,111.0,42210.00000000663,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|22:59:35.000,20260304,22:59:35.000,,AU,AU2606,7175000,14334,14334,7175500,visible_execution_drop,1136.1100000000001,5.930399999994606,5,"AU2604,AU2608,AU2610,AU2612,AU2702",20,425,290.0,1135.0,1135.798,55.50000000000637,9.770180704334326,15.600000000006276,2.746212954732601,,,48.90839999987673,45.943199999812,54.25000000000182,30.0,34073940.0,34.0,9360.000000003765,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AU_V1,validated,AU2606|02:29:28.000,20260304,02:29:28.000,,AU,AU2606,19768000,38871,38871,19768000,visible_execution_drop,1148.71,2.59454999999764,4,"AU2608,AU2610,AU2612,AU2702",20,113,290.0,1146.94,1147.86,88.49999999999909,15.408588764788169,42.50000000000682,7.399604774052079,,,85.52559999993358,82.5604000000037,88.49999999999909,8.0,9182880.0,8.0,6800.000000001091,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|14:06:23.000,20260304,14:06:23.000,,AU,AU2606,61583000,58707,58707,61583000,visible_execution_drop,1151.62,5.930400000028317,3,"AU2608,AU2610,AU2612",20,218,290.0,1150.52,1151.0177777777778,54.99999999999545,9.551761865892475,30.111111111102673,5.229348415467372,,,47.78339999994801,43.70189999988166,43.00000000000637,27.0,31077480.0,27.0,16259.999999995443,trade_recovered_3s,0.5,,0.5,
