检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:09:10.000,20260519,21:09:10.000,21:09:11.000,BU,BU2612,550000,1092,1092,550000,"visible_execution_drop,interval_execution_drop",3979.5,0.0,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,303,290.0,3900.0,3925.7425742574255,79.5,199.7738409347908,53.75742574257447,135.08587948881635,3922.867117117117,56.63288288288322,20.0,20.0,79.5,202.0,7930000.0,202.0,108590.00000000044,persistent_10s,2.5,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:09:35.000,20260519,21:09:35.000,,BU,BU2612,575000,1142,1142,575000,visible_execution_drop,3976.5,1.4826,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,303,290.0,3948.0,3948.0,28.5,71.67106752168993,28.5,71.67106752168993,,,20.0,20.0,28.5,3.0,118440.0,3.0,855.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:09:41.000,20260519,21:09:41.000,,BU,BU2612,581000,1154,1154,581000,visible_execution_drop,3977.0,0.7413,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,296,290.0,3949.0,3949.0,28.0,70.4048277596178,28.0,70.4048277596178,,,20.0,20.0,28.0,1.0,39490.0,1.0,280.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:09:47.000,20260519,21:09:47.000,,BU,BU2612,587000,1166,1166,587000,visible_execution_drop,3977.0,0.7413,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,289,290.0,3948.0,3948.0,29.0,72.91928589388986,29.0,72.91928589388986,,,20.0,20.0,29.0,1.0,39480.0,1.0,290.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:09:59.500,20260519,21:09:59.500,,BU,BU2612,599500,1190,1190,599500,visible_execution_drop,3977.0,1.4826,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,274,290.0,3949.0,3949.0,28.0,70.4048277596178,28.0,70.4048277596178,,,20.0,20.0,28.0,1.0,39490.0,1.0,280.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:10:10.500,20260519,21:10:10.500,,BU,BU2612,610500,1212,1212,610500,visible_execution_drop,3977.0,1.4826,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,256,290.0,3951.0,3951.0,26.0,65.37591149107368,26.0,65.37591149107368,,,20.0,20.0,26.0,10.0,395100.0,10.0,2600.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:10:23.000,20260519,21:10:23.000,,BU,BU2612,623000,1237,1237,623000,visible_execution_drop,3976.5,1.4826,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,248,290.0,3953.0,3953.0,23.5,59.097196026656604,23.5,59.097196026656604,,,20.0,20.0,23.5,1.0,39530.0,1.0,235.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:10:33.500,20260519,21:10:33.500,,BU,BU2612,633500,1258,1258,633500,visible_execution_drop,3974.0,0.7413,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,251,290.0,3952.0,3952.0,22.0,55.359838953195776,22.0,55.359838953195776,,,20.0,20.0,22.0,1.0,39520.0,1.0,220.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:10:37.500,20260519,21:10:37.500,,BU,BU2612,637500,1266,1266,637500,visible_execution_drop,3974.0,1.4826,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,254,290.0,3953.0,3953.0,21.0,52.84348263714142,21.0,52.84348263714142,,,20.0,20.0,21.0,1.0,39530.0,1.0,210.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:10:43.500,20260519,21:10:43.500,21:10:44.500,BU,BU2612,643500,1276,1276,643500,"visible_execution_drop,interval_execution_drop",3975.5,0.0,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,253,290.0,3951.0,3951.0,24.5,61.6274682429883,24.5,61.6274682429883,3951.75,23.75,20.0,20.0,24.5,1.0,39510.0,1.0,245.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,BU2612|21:10:50.000,20260519,21:10:50.000,,BU,BU2612,650000,1289,1289,650000,visible_execution_drop,3977.5,0.7413,5,"BU2606,BU2609,BU2607,BU2608,BU2610",20,252,289.0,3954.0,3954.0,23.5,59.08233815210559,23.5,59.08233815210559,,,20.0,20.0,23.5,1.0,39540.0,1.0,235.0,persistent_10s,,,,
