检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|14:03:14.000,20260402,14:03:14.000,,AG,AG2605,61394000,54675,54675,61394000,visible_execution_drop,17651.0,1.4826,5,"AG2606,AG2608,AG2610,AG2612,AG2607",20,344,290.0,17620.0,17635.52380952381,31.0,17.562744320435105,15.476190476190824,8.767883109280394,,,23.2216,22.581566666651675,31.0,31.0,17.562744320435105,detector_event_depth,21.0,5555190.0,21.0,4875.000000000109,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|14:03:23.000,20260402,14:03:23.000,14:03:24.000,AG,AG2605,61403000,54693,54693,61405000,"visible_execution_drop,interval_execution_drop",17650.0,2.9652,5,"AG2606,AG2608,AG2610,AG2612,AG2607",20,344,290.0,17611.0,17628.190476190477,39.0,22.09631728045326,21.809523809522943,12.356670713610733,17622.363636363636,27.636363636363967,22.4178,21.346066666658867,23.432692307691468,39.0,22.09631728045326,detector_event_depth,42.0,11105760.0,116.0,13739.999999999454,trade_recovered_3s,1.0,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2607|13:34:28.500,20260402,13:34:28.500,,AG,AG2607,59668500,45977,45977,59668500,visible_execution_drop,17725.5,2.2239,5,"AG2606,AG2608,AG2605,AG2610,AG2612",20,163,258.0,17678.0,17692.8,47.5,26.797551550026796,32.70000000000073,18.447998646018856,,,34.0824,31.367199999999997,47.5,47.5,26.797551550026796,detector_event_depth,10.0,2653920.0,10.0,4905.000000000109,trade_recovered_3s,1.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2607|14:04:54.000,20260402,14:04:54.000,,AG,AG2607,61494000,49610,49610,61494000,visible_execution_drop,17587.0,2.9652,5,"AG2606,AG2608,AG2605,AG2610,AG2612",20,154,290.0,17550.0,17570.833333333332,37.0,21.038266901688747,16.16666666666788,9.192395898486314,,,23.7216,29.151999999999997,27.5,37.0,21.038266901688747,detector_event_depth,12.0,3162750.0,12.0,2910.0000000002183,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|09:02:37.500,20260402,09:02:37.500,,AG,AG2608,43357500,39294,39294,43357500,visible_execution_drop,18841.5,2.2239,5,"AG2606,AG2605,AG2610,AG2612,AG2607",20,137,207.0,18820.0,18833.304347826088,21.5,11.41098107900114,8.195652173912094,4.349787529608627,,,20.7564,20.0,19.21666666666715,21.5,11.41098107900114,detector_event_depth,23.0,6497490.0,23.0,2827.4999999996726,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|13:34:22.500,20260402,13:34:22.500,13:34:23.500,AG,AG2608,59662500,55696,55696,59662500,interval_execution_drop,17714.25,2.2239,4,"AG2606,AG2605,AG2610,AG2607",20,353,252.0,17714.0,17676.133333333335,0.25,0.1411293167929774,38.11666666666497,21.51751650036833,17681.89453125,32.35546875,26.6868,20.5064,38.11666666666497,32.35546875,18.265220796816124,detector_event_depth,210.0,55679820.0,210.0,120067.49999999464,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|21:22:59.500,20260402,21:22:59.500,,AG,AG2610,1379500,2732,2732,1379500,visible_execution_drop,18732.5,2.9652,5,"AG2606,AG2608,AG2605,AG2612,AG2607",20,164,290.0,18709.0,18721.333333333332,23.5,12.54504203923662,11.16666666666788,5.9611192668719495,,,20.0,20.0,23.5,23.5,12.54504203923662,detector_event_depth,9.0,2527380.0,9.0,1507.5000000001637,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2610|13:50:01.500,20260402,13:50:01.500,,AG,AG2610,60601500,53612,53612,60601500,visible_execution_drop,17522.5,1.4826,5,"AG2606,AG2608,AG2605,AG2612,AG2607",20,310,290.0,17485.0,17503.423076923074,37.5,21.401055785418748,19.076923076925596,10.887101199558051,,,30.151999999999997,25.936373333331773,33.20833333333394,37.5,21.401055785418748,detector_event_depth,52.0,13652670.0,52.0,14880.000000001965,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2612|21:15:14.500,20260402,21:15:14.500,,AG,AG2612,914500,1757,1757,914500,visible_execution_drop,18744.5,0.7413,5,"AG2606,AG2608,AG2605,AG2610,AG2607",20,125,290.0,18700.0,18720.266666666663,44.5,23.74029715383179,24.233333333333576,12.928236727217891,,,27.151999999999997,33.5824,44.5,44.5,23.74029715383179,detector_event_depth,15.0,4212060.0,15.0,5452.500000000055,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2605|09:14:54.470,20260402,09:14:54.470,,LC,LC2605,44094470,1604,1604,44094470,visible_execution_drop,158070.0,0.7413,3,"LC2609,LC2606,LC2612",20,303,288.868,157380.0,157683.908045977,34.5,43.65154678307079,19.30459770114976,24.425378251597092,,,28.151999999999997,24.4455,34.5,34.5,43.65154678307079,detector_event_depth,87.0,13718500.0,87.0,33590.00000000058,trade_recovered_3s,0.527,,0.527,
